title,totalScore,reviewsCount,street,city,website,phone,url,Instagram,Tiktok,Facebook,YouTube,jumlah_sosmed,kategori,has_website,has_phone,cluster,tier
ANUGERAH WISATA Tour & Travel,5,273,"Br. Kawan, Jl. Nakula Gg II No.4",Kabupaten Gianyar,,+62 812-3916-5756,https://www.google.com/maps/search/?api=1&query=ANUGERAH%20WISATA%20Tour%20%26%20Travel&query_place_id=ChIJPYCGKks90i0RAL4DtXu-cls,TRUE,TRUE,TRUE,FALSE,3,Sangat tinggi,0,1,2,4
Liburan Bali - Travel Agent di Bali,4.7,19,"ONE derland, Jl. Gunung Soputan I",Kota Denpasar,,+62 361 9347071,https://www.google.com/maps/search/?api=1&query=Liburan%20Bali%20-%20Travel%20Agent%20di%20Bali&query_place_id=ChIJA6CJtSxH0i0RGhOhn5rOV28,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,1,2,4
Bali Aga Tour - Paket Tour Bali - Paket Tour Group ke Bali,5,354,Jl. Raya Pemogan No.168X,Kota Denpasar,https://www.baliagatour.co.id/,+62 821-4466-5050,https://www.google.com/maps/search/?api=1&query=Bali%20Aga%20Tour%20-%20Paket%20Tour%20Bali%20-%20Paket%20Tour%20Group%20ke%20Bali&query_place_id=ChIJu0yQY9JA0i0RfMqM_d7s_fM,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,1,1,1,1
BALI enjoy,5,70,"Jalan antasura, perum Sekar antasura Gg. Akasia No.1A",Kota Denpasar,,,https://www.google.com/maps/search/?api=1&query=BALI%20enjoy&query_place_id=ChIJmTPbDkU_0i0RwwStqDc5674,TRUE,FALSE,TRUE,FALSE,2,Tinggi,0,0,5,2
NandraBali Transport,4.1,12,"JJJ4+4GG, Jl. Danau Batur",Kabupaten Jembrana,http://www.nandrabali.wordpress.com/,+62 831-1792-5000,https://www.google.com/maps/search/?api=1&query=jasa%20sewa%20mobil%20dan%20driver%20di%20jembrana%20bali&query_place_id=ChIJjei2MFjf0y0RIPI2X8d8jU4,TRUE,FALSE,TRUE,TRUE,3,Sangat tinggi,1,1,1,1
Safaga Indonesia Jembrana,0,0,MJ3H+J7J,Kabupaten Jembrana,,,https://www.google.com/maps/search/?api=1&query=Safaga%20Indonesia%20Jembrana&query_place_id=ChIJOcz8SZ9j0S0R0HYayG4N3SY,TRUE,FALSE,TRUE,TRUE,3,Sangat tinggi,0,0,0,7
"SUBAK COMUNITY TRANS :Biro perjalanan wisata dan agen paket tour terbaik ,termurah dan terpercaya di Bali",5,11,Jl. Museum Subak,Kabupaten Tabanan,,+62 815-2999-2336,https://www.google.com/maps/search/?api=1&query=SUBAK%20COMUNITY%20TRANS%20%3ABiro%20perjalanan%20wisata%20dan%20agen%20paket%20tour%20terbaik%20%2Ctermurah%20dan%20terpercaya%20di%20Bali&query_place_id=ChIJCZk0lQc70i0ROuDCs5FH5HE,FALSE,FALSE,TRUE,FALSE,1,Sedang,0,1,2,4
PT. Bali Daksina Wisata (BDW TOURS),4.6,61,"Pertokoan Sudirman Agung Blok A/1, Jl. PB.Sudirman, Dauh Puri",Kota Denpasar,,,https://www.google.com/maps/search/?api=1&query=PT.%20Bali%20Daksina%20Wisata%20(BDW%20TOURS)&query_place_id=ChIJmcn9S5FA0i0RI-8KVfdYXOo,TRUE,FALSE,TRUE,TRUE,3,Sangat tinggi,0,0,5,2
Adebalitravel,5,7,Jl. Tunjung Biru Gg. I No.88x,Kota Denpasar,https://linktr.ee/adebalitravel,+62 817-7041-4163,https://www.google.com/maps/search/?api=1&query=Adebalitravel&query_place_id=ChIJmSlMp2xB0i0R3wxVqyCQyEo,TRUE,FALSE,FALSE,FALSE,1,Sedang,1,1,4,3
BAJA TOUR AND TRAVEL,5,8,Dekat,Kabupaten Gianyar,,+62 878-3505-7357,https://www.google.com/maps/search/?api=1&query=BAJA%20TOUR%20AND%20TRAVEL&query_place_id=ChIJ92d1vo8V0i0RjLd0PHk-VGM,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,1,2,4
