title,totalScore,reviewsCount,street,city,website,phone,url,Instagram,Tiktok,Facebook,YT,jumlah_sosmed,kategori,has_website,has_phone,cluster,tier
Altitude Bali,0.0,0.0,"Jl. Raya Kerobokan.88, Jl. Raya Kerobokan No.88",Badung Regency,https://linktr.ee/altitudebali,+62 851-9058-6678,https://www.google.com/maps/search/?api1&queryAltitude%20Bali&query_place_idChIJW4b0SyhH0i0RVCImb-uR3fs,False,False,False,False,0,Rendah,1,1,4,3
Hanen Gevecht,0.0,0.0,"F7M8+3J7, Jl. Sukma Kesuma No.76-80",Gianyar Regency,,,https://www.google.com/maps/search/?api1&queryHanen%20Gevecht&query_place_idChIJVw26g3E90i0RNMO_dgnSSec,False,False,False,False,0,Rendah,0,0,1,7
9'SQUARE Bali,4.9,77.0,Jl. Dewi Sri No.98 C,Badung Regency,https://linktr.ee/9squarebali,+62 817-329-996,https://www.google.com/maps/search/?api1&query9'SQUARE%20Bali&query_place_idChIJVYXkkYxH0i0RIpkHms83LxA,True,False,True,False,2,Tinggi,1,1,4,3
Amlapura Kota,4.9,13.0,Jl. Gajahmada No.11,Karangasem Regency,,+62 857-3890-1585,https://www.google.com/maps/search/?api1&queryAmlapura%20Kota&query_place_idChIJ0TkKIMoH0i0R_6B7Mq5qWtQ,False,False,False,False,0,Rendah,0,1,2,5
black box,4.9,17.0,"Gate88 building with the plane on top, Jl. Raya Kerobokan No.88",Badung Regency,,+62 818-168-094,https://www.google.com/maps/search/?api1&queryblack%20box&query_place_idChIJi3QoKwBH0i0RrAuPqPpxyuE,True,False,False,False,1,Sedang,0,1,2,5
Don Vito Billiard - Kitchen & Bar,4.9,831.0,Jl. Tukad Pakerisan No.98 B,Denpasar City,https://linktr.ee/donvitobilliard,+62 822-2868-3889,https://www.google.com/maps/search/?api1&queryDon%20Vito%20Billiard%20-%20Kitchen%20%26%20Bar&query_place_idChIJyasCeZ1B0i0RJvH8VWDwZMU,False,False,True,False,1,Sedang,1,1,4,3
ELANK DURIAN,4.9,17.0,Jl. Teuku Umar Barat No.391,Denpasar City,,,https://www.google.com/maps/search/?api1&queryELANK%20DURIAN&query_place_idChIJy-PnIEpH0i0RIhEytv85amE,False,False,False,False,0,Rendah,0,0,1,7
Skyler lounge,4.9,157.0,Jl. Raya Kuta No.23,Badung Regency,,+62 851-7181-9336,https://www.google.com/maps/search/?api1&querySkyler%20lounge&query_place_idChIJJZClcA9H0i0RrOmPEbyaeTg,True,False,False,False,1,Sedang,0,1,2,5
Soi Cowboy Bali,4.9,39.0,Jl. Pantai Batu Mejan No.1,Badung Regency,https://soicowboybali.com/,+62 811-3988-837,https://www.google.com/maps/search/?api1&querySoi%20Cowboy%20Bali&query_place_idChIJHd-_b2A50i0RKBwuDt5E03o,True,True,False,False,2,Tinggi,1,1,4,3
Univlox Social Club,4.9,39.0,"Univlox Social Club, Jl. Bypass Ngurah Rai No.11",Badung Regency,http://www.univloxsocialclub.com/,,https://www.google.com/maps/search/?api1&queryUnivlox%20Social%20Club&query_place_idChIJQ65jTZ9F0i0Rnu8ygWaHPoc,True,False,False,False,1,Sedang,1,0,3,4
