title,totalScore,reviewsCount,street,city,website,phone,url,categoryName,Instagram,Tiktok,Facebook,YT,Jumlah OTA,Status,jumlah_sosmed_ota,kategori,kategori_ota,has_website,has_phone,cluster,tier
Collection O Bali near Beachwalk Shoppin,1.0,1,"75J9+VPH Budget Door Legian Inn, Jl. Poppies II",Bali,,62 838-3838-387,https://www.google.com/maps/search/?api=1&query=Collection%20O%20Bali%20near%20Beachwalk%20Shoppin&query_place_id=ChIJrWnMlL5G0i0R8gcDmzXYVlo,Hotel,True,False,True,True,6,UDA DI CEK,9,Sedang,Rendah,0,1,1,3
RedDoorz @ Sriwijaya Legian 2,1.0,1,Jl. Sriwijaya No.23,Badung Regency,https://www.reddoorz.com/id-id/hotel/indonesia/bali/raya-kuta/padma-beach/reddoorz-sriwijaya-legian-2?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,62 21 80629666,https://www.google.com/maps/search/?api=1&query=RedDoorz%20%40%20Sriwijaya%20Legian%202&query_place_id=ChIJCyNVzcVG0i0RrYpHM8Mbs2Q,Hotel,True,True,True,True,5,UDA DI CEK,9,Sedang,Rendah,1,1,0,1
OYO 92607 Simalem Guest House,2.0,4,Jl. Raya Kuta No.100,Badung Regency,,62 817-788-016,https://www.google.com/maps/search/?api=1&query=OYO%2092607%20Simalem%20Guest%20House&query_place_id=ChIJQVhPiq9G0i0Ra9i2XoTMHFM,Hotel,True,True,True,True,8,UDA DI CEK,12,Sedang,Sedang,0,1,1,3
Airy Eco Jimbaran Bantas Kangin 6 Bali,3.0,2,Jl. Batas Kangin No.6,Badung Regency,,62 804 111 2479,https://www.google.com/maps/search/?api=1&query=Airy%20Eco%20Jimbaran%20Bantas%20Kangin%206%20Bali&query_place_id=ChIJ53SKUXtE0i0RJ21oJiNQf7U,Hotel,True,False,True,False,3,UDA DI CEK,5,Rendah,Rendah,0,1,1,3
Airy Kuta Buni Sari Bali,3.0,1,Jl. Bunisari No.14A,Badung Regency,,62 804 111 2479,https://www.google.com/maps/search/?api=1&query=Airy%20Kuta%20Buni%20Sari%20Bali&query_place_id=ChIJk3UEyrpG0i0Rpyx_XqEGOzM,Hotel,True,False,True,False,3,UDA DI CEK,5,Rendah,Rendah,0,1,1,3
Amanda Resort,3.0,3,"75WF+483, Jl. Raya Petitenget Kerobokan Benoa Kuta Selatan Badung Bali",Badung Regency,,62 361 731350,https://www.google.com/maps/search/?api=1&query=Amanda%20Resort&query_place_id=ChIJg0U7w8RG0i0RCyNd_5Jz9vM,Hotel,False,False,False,False,4,UDA DI CEK,4,Rendah,Rendah,0,1,1,3
Collection O 14 Sun Boutique Hotel,3.0,19,Jl. Sunset Road No.23,Badung Regency,https://www.oyorooms.com/h/76131?utm_source=Google_gmb_ID&utm_medium=Organic&utm_campaign=ID_BLI058&latitude=-8.70748&longitude=115.184&locale=id,62 21 29707601,https://www.google.com/maps/search/?api=1&query=Collection%20O%2014%20Sun%20Boutique%20Hotel&query_place_id=ChIJERXO3NlG0i0RWJ7P9lbCf4s,Hotel,True,False,True,True,6,UDA DI CEK,9,Sedang,Rendah,1,1,0,1
Hotel Ratna,3.0,30,Jl. Raya Kuta No.100X,Badung Regency,,62 361 754038,https://www.google.com/maps/search/?api=1&query=Hotel%20Ratna&query_place_id=ChIJpTC26CWHyi0RDrer2FejJgU,Hotel,True,False,False,False,6,UDA DI CEK,7,Sedang,Rendah,0,1,1,3
Legian Village Hotel,3.0,2,"855F+WVJ, JL. Yudistira, Legian",Badung Regency,,,https://www.google.com/maps/search/?api=1&query=Legian%20Village%20Hotel&query_place_id=ChIJP4QKUCZH0i0RlNCid94R588,Hotel,True,False,True,False,14,UDA DI CEK,16,Tinggi,Tinggi,0,0,3,4
OYO 90055 Sadewa Guest House,3.0,2,Jl. Sahadewa No.21,Badung Regency,https://www.oyorooms.com/h/107016?utm_source=Google_gmb_ID&utm_medium=Organic&utm_campaign=ID_BLI229&latitude=-8.70651&longitude=115.1688&locale=id,62 21 29707601,https://www.google.com/maps/search/?api=1&query=OYO%2090055%20Sadewa%20Guest%20House&query_place_id=ChIJlwPJRI1H0i0RMdGtGHMklPk,Hotel,True,True,True,True,8,UDA DI CEK,12,Sedang,Sedang,1,1,0,1
Pension Joni,3.0,1,"75V9+MJ9, Jl. Padma",Badung Regency,,62 361 751182,https://www.google.com/maps/search/?api=1&query=Pension%20Joni&query_place_id=ChIJ2_wyDsNG0i0RkRYYU3fXjPc,Hotel,False,False,True,False,2,UDA DI CEK,3,Rendah,Rendah,0,1,1,3
RedDoorz @ Bidadari Seminyak,3.0,1,"I, Jl. Gunung Atena No.36",Denpasar City,,62 21 80629555,https://www.google.com/maps/search/?api=1&query=RedDoorz%20%40%20Bidadari%20Seminyak&query_place_id=ChIJxz2tOztH0i0RkDXSssSk9rw,Hotel,True,True,True,True,8,UDA DI CEK,12,Sedang,Sedang,0,1,1,3
Sayang Maha Mertha Hotel,3.0,3,Jl. Melasti,Badung Regency,,,https://www.google.com/maps/search/?api=1&query=Sayang%20Maha%20Mertha%20Hotel&query_place_id=ChIJh1rg__8j0i0RRUlZGV5O7C4,Hotel,False,False,True,False,3,UDA DI CEK,4,Rendah,Rendah,0,0,3,4
ZEN Rooms Basic Sunset Road Boutique Hotel,3.0,4,"Jl. Sunset Road No.23, 80361",Badung Regency,https://www.zenrooms.com/id/hotel/9/zen-rooms-basic-sunset-road-boutique-hotel-bali-4552?utm_source=local&utm_medium=organic&utm_campaign=gmb,62 855-7467-1004,https://www.google.com/maps/search/?api=1&query=ZEN%20Rooms%20Basic%20Sunset%20Road%20Boutique%20Hotel&query_place_id=ChIJ409tCcxG0i0RIEo8ti94-ME,Hotel,True,False,True,False,3,UDA DI CEK,5,Rendah,Rendah,1,1,0,1
Ab Hotel Kuta,4.0,160,"75GF+4CP, Jl. Bakung Sari",Badung Regency,https://abhotelkuta.com/,,https://www.google.com/maps/search/?api=1&query=Ab%20Hotel%20Kuta&query_place_id=ChIJDz8_AQBH0i0RwIx9lE13qmY,Hotel,True,True,False,False,3,UDA DI CEK,5,Rendah,Rendah,1,0,2,2
Amaris Hotel Dewi Sri - Bali,4.0,975,Jl. Dewi Sri No.88x,Badung Regency,https://mysantika.com/indonesia/badung/amaris-hotel-dewi-sri-bali,62 361 8496633,https://www.google.com/maps/search/?api=1&query=Amaris%20Hotel%20Dewi%20Sri%20-%20Bali&query_place_id=ChIJo6aTes9G0i0R4XlZ7Klzenc,Hotel,False,False,False,False,9,UDA DI CEK,9,Sedang,Sedang,1,1,0,1
Amaris Hotel Sunset Road,4.0,1134,Jl. Sunset Road No.57,Badung Regency,https://mysantika.com/indonesia/badung/amaris-hotel-sunset-road,62 361 8496555,https://www.google.com/maps/search/?api=1&query=Amaris%20Hotel%20Sunset%20Road&query_place_id=ChIJgbYcU8pG0i0RR1pILHoq7xY,Hotel,True,False,False,False,5,UDA DI CEK,6,Rendah,Rendah,1,1,0,1
Amor Bali Villas & Spa Resort,4.0,154,Jl. Bidadari No.110C Seminyak Kuta,Badung Regency,,62 811-3883-2222,https://www.google.com/maps/search/?api=1&query=Amor%20Bali%20Villas%20%26%20Spa%20Resort&query_place_id=ChIJx6iHvev0aS4RyegrJLY0944,Villa,True,False,True,False,6,UDA DI CEK,8,Sedang,Rendah,0,1,1,3
Arya Hotel,4.0,135,"75JJ+H66, Jalan Raya",Badung Regency,,62 361 756729,https://www.google.com/maps/search/?api=1&query=Arya%20Hotel&query_place_id=ChIJRdtH5rZG0i0RCPASEL33KBA,Hotel,False,False,False,False,8,UDA DI CEK,8,Sedang,Sedang,0,1,1,3
Bali Globe Hotel,4.0,2,Jl. Dhyana Pura No.9A,Badung Regency,,62 361 730098,https://www.google.com/maps/search/?api=1&query=Bali%20Globe%20Hotel&query_place_id=ChIJKRFjtCFH0i0R-v6iZGj_L2k,Hotel,False,False,False,False,4,UDA DI CEK,4,Rendah,Rendah,0,1,1,3
Berry Biz Hotel Sunset Road,4.0,1892,Jl. Sunset Road No.99,Badung Regency,http://www.berrybizhotel.id/,62 857-3844-5754,https://www.google.com/maps/search/?api=1&query=Berry%20Biz%20Hotel%20Sunset%20Road&query_place_id=ChIJraDxU9dG0i0Rc7mVS8U4XJg,Hotel,True,True,True,False,12,UDA DI CEK,15,Tinggi,Sedang,1,1,0,1
Champlung Mas Hotel Kuta Legian,4.0,1661,Jl. Lb. Bene No.16,Badung Regency,http://www.champlungmaslegian.com/,62 361 756448,https://www.google.com/maps/search/?api=1&query=Champlung%20Mas%20Hotel%20Kuta%20Legian&query_place_id=ChIJXw77_sNG0i0RnZPG06LeGoU,Hotel,True,True,True,False,12,UDA DI CEK,15,Tinggi,Sedang,1,1,0,1
Collection O Bali near Beachwalk Shopping Center formerly Budget Door Legian Inn,4.0,289,Jl. Poppies Lane II Gg. Gora No.7,Badung Regency,https://www.oyorooms.com/ID/308023/,62 21 29707601,https://www.google.com/maps/search/?api=1&query=Collection%20O%20Bali%20near%20Beachwalk%20Shopping%20Center%20formerly%20Budget%20Door%20Legian%20Inn&query_place_id=ChIJC91IG7lG0i0RV9SL5ELpMHY,Hotel,True,False,True,True,9,UDA DI CEK,12,Sedang,Sedang,1,1,0,1
Fourteen Roses Beach Hotel,4.0,452,"Jalan Melasti, Gg Intan No.1. Legian Klod",Badung Regency,http://www.frblissfulexperience.com/,62 361 759990,https://www.google.com/maps/search/?api=1&query=Fourteen%20Roses%20Beach%20Hotel&query_place_id=ChIJ4-RxdMFG0i0RcxYwFGfdgYQ,Hotel,True,False,True,False,13,UDA DI CEK,15,Tinggi,Tinggi,1,1,0,1
"G' Sign Style Hotel, Kuta",4.0,593,Jl. Raya Tuban No.111,Badung Regency,https://www.gsignstylehotel.top/en/,62 361 757532,https://www.google.com/maps/search/?api=1&query=G'%20Sign%20Style%20Hotel%2C%20Kuta&query_place_id=ChIJhZQR3gRE0i0RNvNkrpPiqdY,Hotel,True,True,True,False,11,UDA DI CEK,14,Tinggi,Sedang,1,1,0,1
Gana Inn Legian,4.0,256,Jl. Patimura No.32,Badung Regency,,62 361 753634,https://www.google.com/maps/search/?api=1&query=Gana%20Inn%20Legian&query_place_id=ChIJiXHxusdG0i0R8io8AlgY2QA,Hotel,False,False,True,False,8,UDA DI CEK,9,Sedang,Sedang,0,1,1,3
