title,totalScore,reviewsCount,street,city,website,phone,url,categoryName,Instagram,Tiktok,Facebook,YT,ShopeeFood,GrabFood,GoFood,jumlah_sosmed_ODD,kategori,has_website,has_phone,cluster,tier
Warung balibong,4.9,82,Jl. Selat Anturan gang selip,Buleleng Regency,,+62 881-0374-97110,https://www.google.com/maps/search/?api1&queryWarung%20balibong&query_place_idChIJ94By9Nub0S0R5yVwvLaAkeY,Breakfast restaurant,False,False,True,False,False,False,True,2,Sedang,0,1,0,2
Bakso Babi Beranak,4.9,27,Jl. Surya Dharma,Buleleng Regency,,+62 878-6196-6055,https://www.google.com/maps/search/?api1&queryBakso%20Babi%20Beranak&query_place_idChIJbUSWbQCb0S0RkVERJ2i4ekU,Brunch restaurant,True,False,False,False,False,False,False,1,Rendah,0,1,0,2
Warung Kadek Sariati,4.9,10,Jl. Gempol Blk. Masula Masuli No.Gg,Buleleng Regency,,+62 859-3832-8072,https://www.google.com/maps/search/?api1&queryWarung%20Kadek%20Sariati&query_place_idChIJM4ZTZyGR0S0RPd0c2zwJebc,Brunch restaurant,True,False,False,False,False,False,True,2,Sedang,0,1,0,2
Martabak Harland,4.9,8,"V3WV+QHJ, Jl. P. Sulawesi",Buleleng Regency,,+62 897-0999-521,https://www.google.com/maps/search/?api1&queryMartabak%20Harland&query_place_idChIJHcXD9Qea0S0R7PeEQYdk4sE,Creperie,True,False,False,False,True,True,True,4,Tinggi,0,1,0,2
Nasi be Genyol goes blekek,4.9,9,"F478+2WQ, Jl. Pulau Menjangan",Tabanan Regency,,,https://www.google.com/maps/search/?api1&queryNasi%20be%20Genyol%20goes%20blekek&query_place_idChIJ8cyGOwA70i0RKyO_e7rzIpk,Family restaurant,False,False,True,False,False,False,True,2,Sedang,0,0,1,3
Paon Dahayu,4.9,13,"C4WP+V63, Jl. Dr. Ir. Soekarno",Tabanan Regency,,,https://www.google.com/maps/search/?api1&queryPaon%20Dahayu&query_place_idChIJL1lzAAA70i0RJ2InMizM4l4,Family restaurant,True,True,False,False,False,False,True,3,Sedang,0,0,1,3
X Burger Tabanan,4.9,60,,Tabanan Regency,,+62 878-6306-1110,https://www.google.com/maps/search/?api1&queryX%20Burger%20Tabanan&query_place_idChIJzcjuRQA70i0Rwh0AQObbYnI,Hamburger restaurant,True,False,False,False,False,False,False,1,Rendah,0,1,0,2
Lovina Sports Bar & Warung,4.9,36,Jl. Kubu Cembong,Buleleng Regency,,+62 821-4684-1068,https://www.google.com/maps/search/?api1&queryLovina%20Sports%20Bar%20%26%20Warung&query_place_idChIJOWGlFQCb0S0RfqiJaLxv5wI,Indonesian restaurant,False,False,False,False,False,False,False,0,Rendah,0,1,0,2
Pempek Cek Lena Tabanan,4.9,41,Jl. Pulau Menjangan No.32,Tabanan Regency,,+62 878-9773-5992,https://www.google.com/maps/search/?api1&queryPempek%20Cek%20Lena%20Tabanan&query_place_idChIJW-kWOwA70i0RpcKbHgi_w2s,Indonesian restaurant,True,False,False,False,False,False,True,2,Sedang,0,1,0,2
The Chandi kuliner,4.9,14,"V4VC+MX7, Jl. Samratulangi No.188",Buleleng Regency,http://www.instagram.com/chandikuliner,+62 881-0375-52506,https://www.google.com/maps/search/?api1&queryThe%20Chandi%20kuliner&query_place_idChIJYVGSCMeR0S0RHHgfpFJP4OA,Indonesian restaurant,True,False,False,False,False,False,True,2,Sedang,1,1,2,1
