title,totalScore,reviewsCount,street,city,website,phone,url,Instagram,Tiktok,Facebook,YouTube,jumlah_sosmed,kategori,has_website,has_phone,cluster,tier
IBIZA SPA BALI,4.8,819,Jl. Bypass Ngurah Rai No.18,Kabupaten Badung,,+62 877-4170-4237,https://www.google.com/maps/search/?api=1&query=IBIZA%20SPA%20BALI&query_place_id=ChIJK2PBswVE0i0RYbBxi27ocYA,TRUE,TRUE,TRUE,FALSE,3,Sangat tinggi,0,1,2,3
Jasmine Aromatic House l Bali Transit Massage & Spa l Airport Free Transfer l Tripadvisor Winning Awards 2025,4.8,3411,Jl. Bypass Ngurah Rai,Kabupaten Badung,https://www.jasminearomatichouse.com/,+62 361 759469,https://www.google.com/maps/search/?api=1&query=Jasmine%20Aromatic%20House%20l%20Bali%20Transit%20Massage%20%26%20Spa%20l%20Airport%20Free%20Transfer%20l%20Tripadvisor%20Winning%20Awards%202025&query_place_id=ChIJvw0xBERB0i0Rdkx-pQri9TM,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,1,1,4,1
De Nyuh Spa Kuta,4.7,333,Jl. Bypass Ngurah Rai No.99,Kabupaten Badung,https://www.denyuhspa.com/kuta,+62 899-6667-711,https://www.google.com/maps/search/?api=1&query=De%20Nyuh%20Spa%20Kuta&query_place_id=ChIJc0eAOsRG0i0RrcQq0B4_rT4,FALSE,FALSE,TRUE,FALSE,1,Sedang,1,1,0,4
TsuTsu Spa Bali,5,1759,Jl. Bypass Ngurah Rai No.11-12,Kabupaten Badung,http://tsutsuspa.com/,+62 813-3391-4647,https://www.google.com/maps/search/?api=1&query=TsuTsu%20Spa%20Bali&query_place_id=ChIJF1X9TQBF0i0R76Y7-sH90ps,TRUE,TRUE,TRUE,FALSE,3,Sangat tinggi,1,1,4,1
Tedung Bali Massage,4.8,220,"Pertokoan Tuban Plaza 8, JL. Bypass Ngurah Rai, Tuban, Kuta",Kabupaten Badung,,+62 877-7898-0334,https://www.google.com/maps/search/?api=1&query=Tedung%20Bali%20Massage&query_place_id=ChIJXdJir1ZF0i0RHzQIBlwSeEo,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,1,2,6
"Asri Spa Bali,Tuban",4.9,118,Jl. Pelita No.36,Kabupaten Badung,,+62 812-4643-187,https://www.google.com/maps/search/?api=1&query=Asri%20Spa%20Bali%2CTuban&query_place_id=ChIJLdJTkyJF0i0RanIccJsCSnY,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,1,2,6
Jagat Bali Massage,4.8,479,"Pertokoan Tuban Plaza, Jl. Bypass Ngurah Rai No.17",Kabupaten Badung,https://jagatbalimassage.com/,+62 821-4444-3848,https://www.google.com/maps/search/?api=1&query=Jagat%20Bali%20Massage&query_place_id=ChIJaywGI-COoGcRm3XjZbF3tMc,TRUE,TRUE,FALSE,TRUE,3,Sangat tinggi,1,1,4,1
Bali Orchid Spa,4.8,8336,Jl. Bypass Ngurah Rai No.108,Kota Denpasar,https://www.baliorchidspa.com/,+62 818-0467-7778,https://www.google.com/maps/search/?api=1&query=Bali%20Orchid%20Spa&query_place_id=ChIJe3MSQ01B0i0RkSVO8Bobqjg,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,1,1,4,1
Glory Bali Massage,4.8,1906,Jl. Kubu Anyar No.46,Kabupaten Badung,https://glorybalimassage.com/,+62 812-4650-9078,https://www.google.com/maps/search/?api=1&query=Glory%20Bali%20Massage&query_place_id=ChIJD1T4TplH0i0RWjPhJTPpn-I,TRUE,TRUE,FALSE,FALSE,2,Tinggi,1,1,0,2
Amnesti Spa,4,67,"755J+X42, Jl. Bypass Ngurah Rai",Kabupaten Badung,,+62 818-0531-2332,https://www.google.com/maps/search/?api=1&query=Amnesti%20Spa&query_place_id=ChIJtaQWm1dF0i0ROOul9iyLpzI,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,0,1,2,3
Bhava Spa Kuta,4.9,587,Jl. Kartika Plaza Gg. Puspa Ayu No.99,Kabupaten Badung,http://bhavaspa.com/,+62 895-4109-12768,https://www.google.com/maps/search/?api=1&query=Bhava%20Spa%20Kuta&query_place_id=ChIJwdzMBh9E0i0RUpaWw3dP8dw,FALSE,FALSE,TRUE,FALSE,1,Sedang,1,1,0,4
Avenue SPA Massage Kuta Bali,4.2,423,Jalan Sunset Road 1 Bangoo 5 Simpang Siur,Kabupaten Badung,,+62 361 762327,https://www.google.com/maps/search/?api=1&query=Avenue%20SPA%20Massage%20Kuta%20Bali&query_place_id=ChIJtRUy3bNG0i0RXoPO__5rDTo,FALSE,FALSE,FALSE,FALSE,0,Rendah,0,1,2,6
Krisna massage & Reflexology,4.8,35,"Pertokoan, Ruko Tuban Plaza, Jl. Bypass Ngurah Rai No.Kavling 5",Kabupaten Badung,,+62 821-4441-0368,https://www.google.com/maps/search/?api=1&query=Krisna%20massage%20%26%20Reflexology&query_place_id=ChIJjctEFQBF0i0RUHpprr3y0jo,FALSE,FALSE,FALSE,FALSE,0,Rendah,0,1,2,6
Let It Flow Spa x The Keranjang,5,89,Jl. Bypass Ngurah Rai No.97,Kabupaten Badung,http://letitflowspa.com/,+62 812-2545-3685,https://www.google.com/maps/search/?api=1&query=Let%20It%20Flow%20Spa%20x%20The%20Keranjang&query_place_id=ChIJSYqzwP9F0i0RwGPQemb5Aw4,TRUE,FALSE,FALSE,FALSE,1,Sedang,1,1,0,4
Rumah Wangi Airport Spa – Kuta Bali,4.6,404,"Ruko Tuban Plaza, Jl. Bypass Ngurah Rai no. 12",Kabupaten Badung,https://linktr.ee/rumahwangispa_rumahspabali,+62 361 759550,https://www.google.com/maps/search/?api=1&query=Rumah%20Wangi%20Airport%20Spa%20%E2%80%93%20Kuta%20Bali&query_place_id=ChIJE11ZpwNE0i0RIluHDHXEoZs,FALSE,TRUE,FALSE,FALSE,1,Sedang,1,1,0,4
Griya Bugar 1,4.4,569,"756J+76R, Jl. Bypass Ngurah Rai",Kabupaten Badung,,+62 361 767482,https://www.google.com/maps/search/?api=1&query=Griya%20Bugar%201&query_place_id=ChIJ6WWnfARE0i0R_wuWPshLqOw,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,0,1,2,3
Marsya Bali Spa,4.4,302,Jl. Kubu Anyar No.18,Kabupaten Badung,,+62 857-3722-7776,https://www.google.com/maps/search/?api=1&query=Marsya%20Bali%20Spa&query_place_id=ChIJm4cmxKRG0i0R_VS724d9fps,TRUE,FALSE,TRUE,FALSE,2,Tinggi,0,1,2,3
Griya Bugar 2,4.5,848,"Pertokoan Tuban Plaza, Ruko Tuban Plaza, Jl. Bypass Ngurah Rai No.27 Kav 25",Kabupaten Badung,,+62 361 759441,https://www.google.com/maps/search/?api=1&query=Griya%20Bugar%202&query_place_id=ChIJvTltngNE0i0RcfWVpcj5m8c,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,0,1,2,3
Ritual Spa by Ambiente,4.7,241,"75GC+3P9, Jl. Bakung Sari",Kabupaten Badung,https://ramayanasuiteskuta.com/experience-adventure/wellness/,+62 858-2908-7955,https://www.google.com/maps/search/?api=1&query=Ritual%20Spa%20by%20Ambiente&query_place_id=ChIJwdMoky1H0i0RCvV9LPeHuhg,TRUE,TRUE,TRUE,FALSE,3,Sangat tinggi,1,1,4,1
Liang Spa Premium,4.6,47,"Watermark Hotel & Spa, Jl. Raya Uluwatu No.88",Kabupaten Badung,https://liangspapremium.com/,+62 361 4725115,https://www.google.com/maps/search/?api=1&query=Liang%20Spa%20Premium&query_place_id=ChIJxdpTOG5E0i0RWEFgQ33HK2c,TRUE,TRUE,TRUE,FALSE,3,Sangat tinggi,1,1,4,1
Carla Spa Kartika Lama,4.9,5236,"next to, Lippo Mall, Jl. Kartika Plaza No.100X",Kabupaten Badung,https://carlaspabali.com/cabang/detail/TzNPN1plV21RemczMVB5d1FlVkNTUT09,+62 851-0304-1010,https://www.google.com/maps/search/?api=1&query=Carla%20Spa%20Kartika%20Lama&query_place_id=ChIJ3YyPTaBG0i0RtLlZRj3NjGw,TRUE,TRUE,TRUE,FALSE,3,Sangat tinggi,1,1,4,1
Let It Flow SPA,4.9,51,Jl. Kediri No.9F,Kabupaten Badung,http://letitflowspa.com/,+62 812-2545-3685,https://www.google.com/maps/search/?api=1&query=Let%20It%20Flow%20SPA&query_place_id=ChIJp_2donZF0i0R3MC-HCYgpMw,TRUE,FALSE,FALSE,FALSE,1,Sedang,1,1,0,4
W. Massage & SPA,5,13,"758F+Q74, Gg. Purwosari No.41",Kabupaten Badung,,+62 859-5638-6731,https://www.google.com/maps/search/?api=1&query=W.%20Massage%20%26%20SPA&query_place_id=ChIJOQlrHgBH0i0R40v4oCXZH4Y,FALSE,TRUE,FALSE,FALSE,1,Sedang,0,1,2,6
Tropicana Spa,4.6,109,Jl. Bypass Ngurah Rai Jl. Simpang Dewa Ruci No.7,Kabupaten Badung,https://tropicanaspakutabali.com/,+62 361 754774,https://www.google.com/maps/search/?api=1&query=Tropicana%20Spa&query_place_id=ChIJLetvErJG0i0R4FGjtnZAQlU,TRUE,TRUE,FALSE,FALSE,2,Tinggi,1,1,0,2
MySpa Reflexology - Bali,3.9,214,,Kabupaten Badung,,+62 811-3963-535,https://www.google.com/maps/search/?api=1&query=MySpa%20Reflexology%20-%20Bali&query_place_id=ChIJb7VSgilH0i0RO4xDIQ89yy4,TRUE,TRUE,FALSE,FALSE,2,Tinggi,0,1,2,3
Everyday,4.6,456,Jl. Raya Kuta No.129,Kabupaten Badung,,+62 361 762125,https://www.google.com/maps/search/?api=1&query=Everyday&query_place_id=ChIJb4Jwx7hG0i0R8y1OW7Mlkhg,TRUE,TRUE,FALSE,FALSE,2,Tinggi,0,1,2,3
Reborn Sunset Underpass,4.6,2145,"A No, Jl. Sunset Road No.1",Kabupaten Badung,,+62 855-3788-788,https://www.google.com/maps/search/?api=1&query=Reborn%20Sunset%20Underpass&query_place_id=ChIJo-HGqMVG0i0RosiMRNqcQdE,TRUE,TRUE,TRUE,FALSE,3,Sangat tinggi,0,1,2,3
Denzo healing SPA & oil cream,5,4,Jl. Glogor Carik No.11b,Kota Denpasar,,+62 813-5393-2211,https://www.google.com/maps/search/?api=1&query=Denzo%20healing%20SPA%20%26%20oil%20cream&query_place_id=ChIJeYRMJcRB0i0RXxTrP9b1Pws,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,1,2,6
Cozy Spa,4.4,848,Jl. Sunset Road No.66,Kabupaten Badung,,+62 812-3850-6622,https://www.google.com/maps/search/?api=1&query=Cozy%20Spa&query_place_id=ChIJD7io6sVG0i0RtyKvNhOsMaA,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,1,2,6
Mawar Salon & Spa,4.6,15,"75HJ+8R4, Jl. Bypass Ngurah Rai",Kabupaten Badung,,+62 823-4725-8353,https://www.google.com/maps/search/?api=1&query=Mawar%20Salon%20%26%20Spa&query_place_id=ChIJH6yWQhdH0i0RgP-wGOXV0Pc,FALSE,FALSE,FALSE,FALSE,0,Rendah,0,1,2,6
OM SPA 1 Organic Massage & Spa,4.5,148,"Jalan Legian, Jl. Poppies II Gg. Ronta",Kabupaten Badung,,+62 821-4647-4012,https://www.google.com/maps/search/?api=1&query=OM%20SPA%201%20Organic%20Massage%20%26%20Spa&query_place_id=ChIJcZlXPVBH0i0RADsgVrdWX0U,FALSE,FALSE,FALSE,FALSE,0,Rendah,0,1,2,6
AMBORO SPA BALI,5,18,,Kabupaten Badung,https://amborospabali.com/,+62 895-3805-55333,https://www.google.com/maps/search/?api=1&query=AMBORO%20SPA%20BALI&query_place_id=ChIJ68ewnyJF0i0RddDYF4k7fds,TRUE,FALSE,FALSE,FALSE,1,Sedang,1,1,0,4
Massage IN (Ayuk traditional massage & spa),5,217,Jl. Besakih perumahan pondok citra,Kota Denpasar,https://linktr.ee/MassageINBali,+62 878-5958-0322,https://www.google.com/maps/search/?api=1&query=Massage%20IN%20(Ayuk%20traditional%20massage%20%26%20spa)&query_place_id=ChIJJ-n3xXdB0i0RhNFTsAcnR2Q,TRUE,FALSE,FALSE,FALSE,1,Sedang,1,1,0,4
MOKSHA SPA,4.6,389,Jl. Pantai Kuta No.41,Kabupaten Badung,,+62 813-3900-7281,https://www.google.com/maps/search/?api=1&query=MOKSHA%20SPA&query_place_id=ChIJd5XTvpRH0i0Rh_QuGBfDGzA,FALSE,FALSE,FALSE,FALSE,0,Rendah,0,1,2,6
Green Tea Spa - Pantai Kuta,4.7,116,Jl. Pantai Kuta No.68,Kabupaten Badung,,+62 821-4703-2903,https://www.google.com/maps/search/?api=1&query=Green%20Tea%20Spa%20-%20Pantai%20Kuta&query_place_id=ChIJjQyMa2xH0i0RWJggHqXYmgM,FALSE,TRUE,FALSE,FALSE,1,Sedang,0,1,2,6
Soma Massage and Spa Pantai,4.5,416,Jl. Pantai Kuta No.29D,Kabupaten Badung,,+62 812-3963-3101,https://www.google.com/maps/search/?api=1&query=Soma%20Massage%20and%20Spa%20Pantai&query_place_id=ChIJ5RHTI7tG0i0RGD7q3b1HqF8,TRUE,TRUE,TRUE,FALSE,3,Sangat tinggi,0,1,2,3
Griya Pijat TBS Sunset (d/h The Body Spa Sunset Garden),4.5,152,"Business District, Jl. Sunset Garden Jl. Sunset Road No.6",Kota Denpasar,https://www.instagram.com/thebodyspa.bali/,+62 821-2288-3090,https://www.google.com/maps/search/?api=1&query=Griya%20Pijat%20TBS%20Sunset%20(d%2Fh%20The%20Body%20Spa%20Sunset%20Garden)&query_place_id=ChIJ3woVAGZH0i0RLpY2c5ghguw,TRUE,TRUE,FALSE,FALSE,2,Tinggi,1,1,0,2
ZONA SPA BALI,3.8,90,"pertokoan sunset indah 1 sunset boulevard 89 - kav 9 kuta,bali 80361 Kuta",Kabupaten Badung,,+62 361 4753658,https://www.google.com/maps/search/?api=1&query=ZONA%20SPA%20BALI&query_place_id=ChIJxcR1swVE0i0RCY4OQR76r00,TRUE,FALSE,FALSE,TRUE,2,Tinggi,0,1,2,3
Isabel Massage Bali,5,1,Jl. Merdeka Raya III No.1,Kabupaten Badung,https://isabelmassagebali.com/,+62 813-3835-806,https://www.google.com/maps/search/?api=1&query=Isabel%20Massage%20Bali&query_place_id=ChIJbx5TJ3RH0i0RB66_ggRxGlk,FALSE,FALSE,FALSE,FALSE,0,Rendah,1,1,0,4
Secret Garden Spa,4.9,66,"SECRET GARDEN SPRING, Jl. Sunset Road",Kabupaten Badung,,+62 811-3818-1111,https://www.google.com/maps/search/?api=1&query=Secret%20Garden%20Spa&query_place_id=ChIJfYN7mUJH0i0R938Z3WJIzso,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,1,2,6
Bali massage,0,0,Perumahan padmayana B,Kota Denpasar,,+62 859-3285-3360,https://www.google.com/maps/search/?api=1&query=Bali%20massage&query_place_id=ChIJSSF9nTxH0i0RqbUG-7gNkHc,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,1,3,6
Faradish Spa & Massage,4.2,17,Jl. Raya Kuta gang sehati,Kabupaten Badung,https://faradishspa.id/,+62 812-9896-9645,https://www.google.com/maps/search/?api=1&query=Faradish%20Spa%20%26%20Massage&query_place_id=ChIJ_-IpnX5H0i0RzTWCnLAhDno,FALSE,FALSE,FALSE,FALSE,0,Rendah,1,1,0,4
Teratai Bali massge,5,4,Jl. Sunset Garden No.16-6,Kota Denpasar,,+62 812-3993-9806,https://www.google.com/maps/search/?api=1&query=Teratai%20Bali%20massge&query_place_id=ChIJVfxnerBH0i0RWd18Iw75Iv8,FALSE,FALSE,FALSE,FALSE,0,Rendah,0,1,2,6
Savaya Spa & Massge,5,2,"75PM+C2C, Jl. Raya Kuta",Kabupaten Badung,https://faradishspa.com/,+62 851-7699-2941,https://www.google.com/maps/search/?api=1&query=Savaya%20Spa%20%26%20Massge&query_place_id=ChIJKUxSh2lH0i0R4EjKrcb4Txk,FALSE,TRUE,FALSE,FALSE,1,Sedang,1,1,0,4
Taman Air Spa,4.8,4636,Jl. Sunset Road No.88,Kabupaten Badung,http://www.tamanairspa.com/,+62 361 8947300,https://www.google.com/maps/search/?api=1&query=Taman%20Air%20Spa&query_place_id=ChIJZxcJp85G0i0Rh93sMVkVBek,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,1,1,4,1
Alaya Spa,5,1,"75MM+GP5, Jl. Tegeh Sari III",Kabupaten Badung,,,https://www.google.com/maps/search/?api=1&query=Alaya%20Spa&query_place_id=ChIJvyRU_JpH0i0RKSpuTDxllHA,TRUE,TRUE,FALSE,FALSE,2,Tinggi,0,0,1,7
NICE SPA,5,3,75MQ+WQ2,Kota Denpasar,,,https://www.google.com/maps/search/?api=1&query=NICE%20SPA&query_place_id=ChIJ_1T9ZABB0i0RUmN6CpWypGc,FALSE,FALSE,FALSE,FALSE,0,Rendah,0,0,1,7
Sway Spa Kuta,4.9,28,ruko Rs 12A Jl. Patih Jelantik,Kabupaten Badung,https://swaybalispa.com/,+62 889-9410-1842,https://www.google.com/maps/search/?api=1&query=Sway%20Spa%20Kuta&query_place_id=ChIJ_UiUMABH0i0R1i7BYA7S1Po,FALSE,FALSE,FALSE,FALSE,0,Rendah,1,1,0,4
Grand Mega Resort & Spa Bali,4,3318,Jl. Bypass Ngurah Rai No.234,Kabupaten Badung,https://www.grandmegaresortbali.com/,+62 361 767672,https://www.google.com/maps/search/?api=1&query=Grand%20Mega%20Resort%20%26%20Spa%20Bali&query_place_id=ChIJtZQ2FbJG0i0RCVpQrXDV9E8,TRUE,TRUE,TRUE,FALSE,3,Sangat tinggi,1,1,4,1
