title,totalScore,reviewsCount,street,city,website,phone,url,Instagram,Tiktok,Facebook,YouTube,jumlah_sosmed,kategori,has_website,has_phone,cluster,tier
Waterpark Square,5,2,"95FV+2C8, Jl. Kargo Sari Dana",Denpasar City,,,https://www.google.com/maps/search/?api=1&query=Waterpark%20Square&query_place_id=ChIJZZ-cFTQ_0i0RUziDSSn2vEM,TRUE,FALSE,TRUE,FALSE,2,Tinggi,0,0,2,4
Alamandaoe Water Park,4.3,200,,Buleleng Regency,https://www.facebook.com/alamandaoe5,+62 812-3611-727,https://www.google.com/maps/search/?api=1&query=Alamandaoe%20Water%20Park&query_place_id=ChIJAQAAADyO0S0RDjBPWoSnPzo,TRUE,FALSE,TRUE,TRUE,3,Sangat tinggi,1,1,1,1
Siraman Natural Waterfall Desa Bayuatis,4.3,30,P2MM+6GV,Buleleng Regency,,,https://www.google.com/maps/search/?api=1&query=Siraman%20Natural%20Waterfall%20Desa%20Bayuatis&query_place_id=ChIJGV-rDQ2H0S0RzVCzfVli77k,TRUE,FALSE,TRUE,FALSE,2,Tinggi,0,0,2,4
Ubud Water Palace,3.9,1368,Jl. Raya Ubud No.6,Gianyar Regency,http://www.ubudwaterpalace.com/,+62 361 975660,https://www.google.com/maps/search/?api=1&query=Ubud%20Water%20Palace&query_place_id=ChIJeWk_HUE90i0RLtgaWympMSw,TRUE,TRUE,TRUE,FALSE,3,Sangat tinggi,1,1,1,1
USAT Liberty Shipwreck,4.8,56,PHGV+867 Coral Garden Diving Spot,Karangasem Regency,,,https://www.google.com/maps/search/?api=1&query=USAT%20Liberty%20Shipwreck&query_place_id=ChIJKwJQbQD_0S0RhM4oRhZRvaE,TRUE,FALSE,TRUE,FALSE,2,Tinggi,0,0,2,4
Holly Water Grombong,5,4,R5CM+M4F,Buleleng Regency,,+62 877-6277-4949,https://www.google.com/maps/search/?api=1&query=Holly%20Water%20Grombong&query_place_id=ChIJZVPt07mP0S0Rn_BEEbI-yWQ,TRUE,FALSE,TRUE,FALSE,2,Tinggi,0,1,0,3
Alam Tirta Outbound,4.4,587,Banjar Samuan Kangin,Badung Regency,,+62 813-6556-1999,https://www.google.com/maps/search/?api=1&query=Alam%20Tirta%20Outbound&query_place_id=ChIJM55nNRAj0i0RLFgA9kPyYMM,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,0,1,0,3
Kolam Renang Air Sanih,4.3,36,"W6C8+VR3, Jl. Raya Air Sanih",Buleleng Regency,,,https://www.google.com/maps/search/?api=1&query=Kolam%20Renang%20Air%20Sanih&query_place_id=ChIJUbXR3eqV0S0RvbkYgBtWPI8,TRUE,FALSE,TRUE,FALSE,2,Tinggi,0,0,2,4
CitraLand Waterpark Denpasar,4.4,3464,"The Wikan's Citraland Denpasar, Jl. Cargo Permai",Denpasar City,https://linktr.ee/Citralandwaterparkdps,+62 361 4714830,https://www.google.com/maps/search/?api=1&query=CitraLand%20Waterpark%20Denpasar&query_place_id=ChIJqZ1qazQ_0i0RlSSmznZwXpE,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,1,1,1,1
BATUR AQUA RIDE || BATUR WATER BIKE CYCLING,4.9,78,Jl. Trunyan,Bangli Regency,https://balixperiences.com/,+62 823-4079-7730,https://www.google.com/maps/search/?api=1&query=BATUR%20AQUA%20RIDE%20%7C%7C%20BATUR%20WATER%20BIKE%20CYCLING&query_place_id=ChIJiYv3XwD30S0RDN0xn4FpeaM,TRUE,TRUE,TRUE,FALSE,3,Sangat tinggi,1,1,1,1
Keramas Water Park,4.2,1352,Jl. Maruti,Gianyar Regency,,+62 812-3988-9988,https://www.google.com/maps/search/?api=1&query=Keramas%20Water%20Park&query_place_id=ChIJozizjs0V0i0R_-sKWzeSgtw,TRUE,FALSE,TRUE,FALSE,2,Tinggi,0,1,0,3
PESONA WATER PARK,4,74,"V95Q+7VP, Jl. Raya Singaraja - Amlapura",Buleleng Regency,,,https://www.google.com/maps/search/?api=1&query=PESONA%20WATER%20PARK&query_place_id=ChIJsWd6vcHv0S0RuCBPADSTrPY,FALSE,FALSE,TRUE,FALSE,1,Sedang,0,0,2,4
Kembengan Sari Waterpark,3.8,104,J656+3PP,Badung Regency,,,https://www.google.com/maps/search/?api=1&query=Kembengan%20Sari%20Waterpark&query_place_id=ChIJmfcezBsh0i0R8WycSGrVxmA,TRUE,TRUE,FALSE,FALSE,2,Tinggi,0,0,2,4
Wisata Tirta Srinadi,4,704,Br. Minggir,Klungkung Regency,,+62 366 25750,https://www.google.com/maps/search/?api=1&query=Wisata%20Tirta%20Srinadi&query_place_id=ChIJJ9r_ytoT0i0RO68dXnpiCI4,TRUE,TRUE,TRUE,FALSE,3,Sangat tinggi,0,1,0,3
Kemenuh Waterpark,4.4,218,"Jl. Ir, Soetami, Br. Kemenuh Kelod",Gianyar Regency,https://linktr.ee/kemenuhtourismobject,+62 811-3801-2266,https://www.google.com/maps/search/?api=1&query=Kemenuh%20Waterpark&query_place_id=ChIJt-KIMEUV0i0R4j5NXw1Rkf0,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,1,1,1,1
Royal Palace on the Water,4.7,344,GJPJ+6CV,Karangasem Regency,,,https://www.google.com/maps/search/?api=1&query=Royal%20Palace%20on%20the%20Water&query_place_id=ChIJhR3zzXYI0i0RwTpv1sUNHkQ,TRUE,FALSE,FALSE,TRUE,2,Tinggi,0,0,2,4
Waterboom Sidembunut,4.3,697,Jl. Erlangga,Bangli Regency,,+62 822-3700-2003,https://www.google.com/maps/search/?api=1&query=Waterboom%20Sidembunut&query_place_id=ChIJncRHBY8Z0i0RrswExj-Ku3g,TRUE,TRUE,TRUE,FALSE,3,Sangat tinggi,0,1,0,3
Batur Water Park,3.6,129,P9GH+GQ3,Bangli Regency,,+62 813-3863-3519,https://www.google.com/maps/search/?api=1&query=Batur%20Water%20Park&query_place_id=ChIJNWHvZ5P10S0RfcYh--jwQ6s,TRUE,TRUE,TRUE,FALSE,3,Sangat tinggi,0,1,0,3
Waterbom Bali,4.7,18364,Jl. Kartika Plaza,Badung Regency,https://waterbom-bali.com/,+62 361 755676,https://www.google.com/maps/search/?api=1&query=Waterbom%20Bali&query_place_id=ChIJ34KP7qNG0i0RpX9A85PWkRI,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,1,1,1,1
PT. Aditya Water Sport,4.1,473,Jl. Pratama No.105,Badung Regency,,,https://www.google.com/maps/search/?api=1&query=PT.%20Aditya%20Water%20Sport&query_place_id=ChIJwYv6tLpD0i0R6eK3Zza9k_g,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,0,0,2,4
Mason Adventures,4.4,377,"Adventure House, Jl. Bypass Ngurah Rai Jl. Pesanggaran",Denpasar City,https://www.masonadventures.com/,+62 361 721480,https://www.google.com/maps/search/?api=1&query=Mason%20Adventures&query_place_id=ChIJbfogZxVB0i0RNBnXzmm2qX4,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,1,1,1,1
Bluewatercruises Bali,0,0,Jl. Dewi Sri No.4,Badung Regency,http://bluewatercruises.com/,+62 821-4445-7024,https://www.google.com/maps/search/?api=1&query=Bluewatercruises%20Bali&query_place_id=ChIJrZ5sHQBH0i0RO1KYhO97LGE,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,1,1,1,1
Ekowisata Mangrove Batu Lumbang,4.7,198,758Q+76C,Denpasar City,,+62 859-4131-4706,https://www.google.com/maps/search/?api=1&query=Ekowisata%20Mangrove%20Batu%20Lumbang&query_place_id=ChIJ654Bk7NF0i0R7MKszE1eY3g,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,1,0,3
FROGY SURFING and BAR,4.8,42,Jl. Dhyana Pura,Badung Regency,,+62 813-2524-7141,https://www.google.com/maps/search/?api=1&query=FROGY%20SURFING%20and%20BAR&query_place_id=ChIJ12PvZABH0i0R2JchGoIrKfA,TRUE,TRUE,TRUE,FALSE,3,Sangat tinggi,0,1,0,3
Adventure Scuba Diving Bali,4.9,597,Jl. Dewi Saraswati No.50,Badung Regency,http://www.adventure-scuba-diving.com/,+62 877-6010-2000,https://www.google.com/maps/search/?api=1&query=Adventure%20Scuba%20Diving%20Bali&query_place_id=ChIJacW_oB5H0i0RiHnpTFSlTAo,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,1,1,1,1
DERMAGA 2 WISATA AIR KAMPUNG ISLAM KEPAON,4.9,8,Jl. Taman Pancing Timur No.21,Denpasar City,,,https://www.google.com/maps/search/?api=1&query=DERMAGA%202%20WISATA%20AIR%20KAMPUNG%20ISLAM%20KEPAON&query_place_id=ChIJtcfq96BB0i0RqIoBYVEyCEI,FALSE,FALSE,FALSE,FALSE,0,Rendah,0,0,2,4
Parasailing Bali,4.4,35,Jl. Pratama,Badung Regency,https://tiket-baliwatersport.com/,+62 857-9745-9122,https://www.google.com/maps/search/?api=1&query=Parasailing%20Bali&query_place_id=ChIJBb1u1qVD0i0Rv3O_nFdVgrA,TRUE,FALSE,TRUE,FALSE,2,Tinggi,1,1,1,2
Ocean Walk Underwater Bali,5,6,Jln Legian No.XX,Badung Regency,https://oceanwalker.raftinggo.com/,+62 831-7714-2832,https://www.google.com/maps/search/?api=1&query=Ocean%20Walk%20Underwater%20Bali&query_place_id=ChIJoa7wvwtH0i0R7amPZF6oVkE,TRUE,TRUE,FALSE,FALSE,2,Tinggi,1,1,1,2
Bharajaya Watersport,4.8,449,Jl. Segara Kerthi No.01,Badung Regency,,+62 878-6594-4566,https://www.google.com/maps/search/?api=1&query=Bharajaya%20Watersport&query_place_id=ChIJTVjQAwFD0i0RAmqodtl_b28,TRUE,FALSE,TRUE,FALSE,2,Tinggi,0,1,0,3
Water Slide Lemukih,4,298,,Buleleng Regency,https://wa.me/6282266481833,+62 822-6648-1833,https://www.google.com/maps/search/?api=1&query=Water%20Slide%20Lemukih&query_place_id=ChIJnVLdXw6O0S0RfT_oR2oioj8,TRUE,TRUE,FALSE,FALSE,2,Tinggi,1,1,1,2
Bali Indah & Water Sports,4.1,591,Jl. Segara Windu No.102,Badung Regency,,+62 819-1353-8198,https://www.google.com/maps/search/?api=1&query=Bali%20Indah%20%26%20Water%20Sports&query_place_id=ChIJf1HWH7pD0i0RZWwtcHe4KaI,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,1,0,3
Aquamarlin Dive & Watersports,3.8,9,66RF+42F,Badung Regency,,+62 821-5090-0474,https://www.google.com/maps/search/?api=1&query=Aquamarlin%20Dive%20%26%20Watersports&query_place_id=ChIJ53OadgtD0i0RB8S5xuWxMFU,TRUE,TRUE,TRUE,FALSE,3,Sangat tinggi,0,1,0,3
Water Sport Adventure Bali Dolphin Shop,4,5321,Jl. Segara Lor No.20,Badung Regency,,+62 361 778041,https://www.google.com/maps/search/?api=1&query=Water%20Sport%20Adventure%20Bali%20Dolphin%20Shop&query_place_id=ChIJh4vF5rhD0i0RBtepVG27WOk,TRUE,FALSE,TRUE,FALSE,2,Tinggi,0,1,0,3
Bali Jetpacks and Water Sport,3.6,38,,Badung Regency,https://balijetpacks.com/,+62 813-3787-0349,https://www.google.com/maps/search/?api=1&query=Elang%20Laut%20Water%20Sport&query_place_id=ChIJh4QQHe1D0i0RdPCmc0AbJ1o,TRUE,FALSE,TRUE,FALSE,2,Tinggi,1,1,1,2
kembang kuning dive & water sport,4.8,4,66WC+P7C Jl. Bali Collection,Badung Regency,,,https://www.google.com/maps/search/?api=1&query=kembang%20kuning%20dive%20%26%20water%20sport&query_place_id=ChIJfc-g_ilD0i0RCvufXeqldTU,TRUE,TRUE,TRUE,FALSE,3,Sangat tinggi,0,0,2,4
